prefecture,municipality,base_municipality,category,target_url,status,detected_types,recommended_action,comment,important_urls,error
東京都,品川区公式サイト,品川区,official,https://www.city.shinagawa.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,品川区道路情報,品川区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,品川区地区計画,品川区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,品川区建築指導課,品川区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,目黒区公式サイト,目黒区,official,https://www.city.meguro.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,目黒区道路情報,目黒区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,目黒区地区計画,目黒区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,目黒区建築指導課,目黒区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,大田区公式サイト,大田区,official,https://www.city.ota.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,大田区道路情報,大田区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,大田区地区計画,大田区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,大田区建築指導課,大田区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,世田谷区公式サイト,世田谷区,official,https://www.city.setagaya.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,世田谷区道路情報,世田谷区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,世田谷区地区計画,世田谷区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,世田谷区建築指導課,世田谷区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,渋谷区公式サイト,渋谷区,official,https://www.city.shibuya.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,渋谷区道路情報,渋谷区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,渋谷区地区計画,渋谷区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,渋谷区建築指導課,渋谷区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,中野区公式サイト,中野区,official,https://www.city.tokyo-nakano.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,中野区道路情報,中野区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,中野区地区計画,中野区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,中野区建築指導課,中野区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,杉並区公式サイト,杉並区,official,https://www.city.suginami.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,杉並区道路情報,杉並区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,杉並区地区計画,杉並区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,杉並区建築指導課,杉並区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,豊島区公式サイト,豊島区,official,https://www.city.toshima.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,豊島区道路情報,豊島区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,豊島区地区計画,豊島区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,豊島区建築指導課,豊島区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,北区公式サイト,北区,official,https://www.city.kita.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,北区道路情報,北区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,北区地区計画,北区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,北区建築指導課,北区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,荒川区公式サイト,荒川区,official,https://www.city.arakawa.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,荒川区道路情報,荒川区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,荒川区地区計画,荒川区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,荒川区建築指導課,荒川区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,板橋区公式サイト,板橋区,official,https://www.city.itabashi.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,板橋区道路情報,板橋区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,板橋区地区計画,板橋区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,板橋区建築指導課,板橋区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,練馬区公式サイト,練馬区,official,https://www.city.nerima.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,練馬区道路情報,練馬区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,練馬区地区計画,練馬区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,練馬区建築指導課,練馬区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,足立区公式サイト,足立区,official,https://www.city.adachi.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,足立区道路情報,足立区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,足立区地区計画,足立区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,足立区建築指導課,足立区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,葛飾区公式サイト,葛飾区,official,https://www.city.katsushika.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,葛飾区道路情報,葛飾区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,葛飾区地区計画,葛飾区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,葛飾区建築指導課,葛飾区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,江戸川区公式サイト,江戸川区,official,https://www.city.edogawa.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,江戸川区道路情報,江戸川区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,江戸川区地区計画,江戸川区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,江戸川区建築指導課,江戸川区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,東京都都市計画情報,全自治体共通,urban_plan,https://www2.wagmap.jp/tokyo_tokeizu/,manual,,共通公式リンク,東京都共通。用途地域、建ぺい率、容積率、防火地域、高度地区などの確認候補。,,
東京都,国土地理院ハザード,全自治体共通,hazard,https://disaportal.gsi.go.jp/,manual,,共通公式リンク,全国共通。洪水、土砂災害、津波等の確認候補。,,
